,0
298,1838
299,2249
300,4199
301,5645
302,8044
303,8491
304,8491
305,7879
306,7416
307,7081
308,6920
309,6678
310,6885
311,7335
312,7588
313,7305
314,8024
315,7957
316,9094
317,9318
318,8415
319,7957
320,7975
321,9102
322,10130
323,11640
324,10662
325,10424
326,9095
327,8972
328,8976
329,8991
330,8278
331,7541
332,5990
333,4562
334,3669
335,2751
336,2195
337,1452
338,1104
339,967
340,756
341,546
342,522
343,648
344,570
345,786
346,1562
347,2225
348,4277
349,5736
350,8387
351,8889
352,8710
353,8253
354,8066
355,7056
356,7164
357,7178
358,7615
359,8111
360,7905
361,7744
362,8323
363,8367
364,9213
365,9964
366,9048
367,8747
368,8445
369,9772
370,11010
371,11497
372,11614
373,10995
374,10308
375,9502
376,10018
377,10365
378,9757
379,8628
380,6649
381,6116
382,4350
383,3454
384,2675
385,1698
386,1315
387,984
388,800
389,662
390,647
391,677
392,608
393,784
394,1705
395,2525
396,4163
397,6171
398,9138
399,9466
400,9969
401,9280
402,8488
403,8310
404,7861
405,7655
406,8266
407,8318
408,8121
409,8336
410,8907
411,9016
412,9572
413,9779
414,9372
415,9028
416,8867
417,9856
418,11084
419,11845
420,11955
421,11232
422,10322
423,10038
424,10277
425,10481
426,11058
427,9682
428,8290
429,6549
430,5399
431,4574
432,3507
433,2607
434,2046
435,1624
436,1331
437,1015
438,972
439,1014
440,736
441,960
442,1655
443,2346
444,4055
445,5767
446,8416
447,8870
448,8743
449,8322
450,7832
451,7448
452,7495
453,7662
454,8004
455,8022
456,8169
457,7703
458,8464
459,8442
460,9148
461,9607
462,9391
463,8988
464,8831
465,9899
466,11075
467,11939
468,11870
469,11601
470,10572
471,9360
472,9670
473,9346
474,10023
475,9660
476,10586
477,9269
478,8926
479,8292
480,7381
481,6497
482,5851
483,5229
484,4402
485,3651
486,2984
487,2321
488,1203
489,922
490,1006
491,1241
492,1699
493,1980
494,2760
495,3253
496,4585
497,5122
498,6431
499,6459
500,7587
501,7501
502,8329
503,8474
504,9163
505,9159
506,9245
507,9273
508,9387
509,10250
510,10762
511,10016
512,10008
513,9936
514,10817
515,10770
516,11079
517,10774
518,10273
519,8608
520,8656
521,8192
522,9325
523,9313
524,10391
525,10671
526,10153
527,9065
528,8247
529,7776
530,7853
531,6294
532,5253
533,4216
534,3542
535,3008
536,1357
537,958
538,906
539,935
540,1321
541,1731
542,2496
543,2874
544,3810
545,4320
546,5761
547,5784
548,6759
549,6975
550,7695
551,7926
552,8429
553,8105
554,8484
555,8826
556,8612
557,8566
558,9081
559,8627
560,8829
561,8914
562,9140
563,9436
564,8864
565,7484
566,6912
567,6534
568,6333
569,6132
570,5892
571,5445
572,4710
573,3600
574,3105
575,2460
576,1695
577,1291
578,1025
579,778
580,672
581,551
582,493
583,648
584,679
585,888
586,1818
587,2821
588,4930
589,6682
590,8546
591,8996
592,8803
593,8072
594,8195
595,7623
596,7548
597,7119
598,7945
599,8222
600,8291
601,7733
602,8476
603,8623
604,9386
605,10066
606,9272
607,8384
608,8474
609,9370
610,10478
611,11762
612,10823
613,9965
614,9165
615,8716
616,8341
617,8120
618,7876
619,7407
620,5640
621,4553
622,3719
623,3349
624,2247
625,1581
626,1185
627,929
628,819
629,627
630,537
631,658
632,726
633,825
634,1651
635,2530
636,4351
637,6063
638,8441
639,9069
640,8936
641,8414
642,8363
643,7832
644,7828
645,7544
646,8180
647,8493
648,8210
649,7895
650,9170
651,9280
652,9927
653,9951
654,9865
655,10621
656,8450
657,9346
658,10307
659,11215
660,10942
661,10209
662,9426
663,9302
664,9004
665,9211
666,9399
667,8203
668,6934
669,4986
670,3821
671,3201
672,2216
673,1543
674,1292
675,972
676,711
677,662
678,572
679,679
680,673
681,935
682,1743
683,2566
684,4187
685,6209
686,8614
687,9027
688,9162
689,8324
690,7998
691,7285
692,7548
693,7364
694,7770
695,8268
696,7963
697,7697
698,8359
699,8465
700,9210
701,9396
702,8919
703,8539
704,8577
705,9443
706,10617
707,10895
708,11341
709,10366
710,9918
711,9781
712,9771
713,10001
714,10085
715,8786
716,7115
717,6325
718,4757
719,3912
720,2690
721,1988
722,1385
723,1245
724,871
725,718
726,715
727,769
728,756
729,1001
730,1833
731,2483
732,4258
733,6081
734,8823
735,8834
736,9602
737,9410
738,8191
739,8038
740,7766
741,7535
742,8211
743,8641
744,8702
745,8215
746,9309
747,10899
748,9622
749,9714
750,9192
751,9072
752,9032
753,10503
754,11573
755,12573
756,12453
757,12054
758,11351
759,10824
760,11115
761,11344
762,11997
763,11252
764,9795
765,7518
766,6330
767,5087
768,3774
769,3103
770,2468
771,1842
772,1347
773,1109
774,998
775,1054
776,861
777,968
778,1868
779,2631
780,4508
781,6283
782,9221
783,9585
784,9680
785,8795
786,8773
787,8235
788,8432
789,8128
790,8821
791,9073
792,8663
793,8668
794,9564
795,9520
796,10480
797,10957
798,9847
799,9767
800,9593
801,10539
802,12384
803,12756
804,13106
805,12716
806,11786
807,10146
808,9840
809,9611
810,9756
811,9942
812,10448
813,8650
814,7983
815,7393
816,6285
817,6069
818,4966
819,4705
820,3986
821,3176
822,2505
823,2459
824,1241
825,913
826,998
827,1159
828,1666
829,1774
830,2446
831,3013
832,4319
833,4742
834,6149
835,6408
836,7235
837,6911
838,7574
839,8103
840,9655
841,9635
842,8592
843,8096
844,7870
845,7679
846,8742
847,8630
848,8537
849,8536
850,8930
851,8934
852,10380
853,11057
854,9932
855,7473
856,7701
857,6840
858,7606
859,8581
860,7929
861,7459
862,7125
863,6323
864,7082
865,6350
866,5322
867,4652
868,4164
869,3334
870,2978
871,2391
872,1294
873,882
874,694
875,916
876,1283
877,1638
878,2199
879,2521
880,3477
881,3915
882,5407
883,5973
884,7370
885,7296
886,7511
887,7975
888,8057
889,7931
890,7985
891,8243
892,8754
893,8743
894,8742
895,8172
896,8838
897,8444
898,8657
899,8877
900,8660
901,7567
902,6803
903,6751
904,6794
905,6525
906,7674
907,7019
908,5798
909,4946
910,4495
911,3707
912,2962
913,2480
914,1837
915,1520
916,1278
917,1079
918,987
919,1024
920,763
921,812
922,1042
923,1474
924,2017
925,2131
926,2707
927,3538
928,4556
929,5065
930,5846
931,5856
932,6586
933,6875
934,7643
935,8027
936,7946
937,7769
938,8058
939,8282
940,8603
941,8294
942,8809
943,8372
944,8293
945,8279
946,8544
947,8741
948,8433
949,7605
950,7025
951,6367
952,6866
953,6426
954,5597
955,4852
956,4591
957,3373
958,2486
959,2291
960,1608
961,1129
962,886
963,619
964,438
965,457
966,430
967,485
968,525
969,951
970,1812
971,2674
972,4445
973,6250
974,8591
975,9364
976,9792
977,8677
978,8218
979,7539
980,7826
981,7484
982,7915
983,8111
984,7936
985,7791
986,8388
987,8323
988,9085
989,9584
990,9024
991,8644
992,8806
993,9431
994,10844
995,11585
996,11751
997,10198
998,9603
999,9809
1000,9447
1001,9642
1002,9821
1003,8491
1004,6848
1005,4867
1006,3559
1007,2867
1008,1961
1009,1380
1010,960
1011,874
1012,666
1013,580
1014,598
1015,654
1016,595
1017,953
1018,1671
1019,2534
1020,4383
1021,6210
1022,8537
1023,9095
1024,9282
1025,8644
1026,8502
1027,7571
1028,7758
1029,7566
1030,8280
1031,8395
1032,8179
1033,7560
1034,8381
1035,8522
1036,9081
1037,9520
1038,9023
1039,8552
1040,8865
1041,9825
1042,10642
1043,11835
1044,11841
1045,10997
1046,10096
1047,9931
1048,9585
1049,10546
1050,10507
1051,9859
1052,7596
1053,5808
1054,4498
1055,3565
1056,2346
1057,1803
1058,1414
1059,1103
1060,923
1061,727
1062,703
1063,760
1064,711
1065,1003
1066,1863
1067,2478
1068,4417
1069,6052
1070,8724
1071,9326
1072,9174
1073,8593
1074,8354
1075,7567
1076,7822
1077,7569
1078,8391
1079,8406
1080,8008
1081,8024
1082,8997
1083,8925
1084,9526
1085,9819
1086,9203
1087,8917
1088,8956
1089,10328
1090,11344
1091,12176
1092,12160
1093,11494
1094,10720
1095,10398
1096,10420
1097,11064
1098,11299
1099,10827
1100,10179
1101,7740
1102,5888
1103,4831
1104,3789
1105,2817
1106,2122
1107,1790
1108,1280
1109,1221
1110,970
1111,1116
1112,899
1113,1046
1114,1913
1115,2437
1116,4288
1117,5711
1118,8526
1119,8410
1120,8541
1121,8164
1122,7636
1123,7250
1124,7362
1125,7266
1126,7944
1127,7924
1128,7980
1129,7859
1130,8791
1131,8753
1132,9524
1133,9635
1134,9138
1135,8874
1136,8758
1137,10041
1138,11406
1139,12265
1140,12471
1141,12712
1142,11906
1143,10183
1144,9643
1145,9992
1146,10530
1147,11043
1148,10513
1149,10745
1150,9554
1151,8982
1152,7865
1153,6844
1154,6097
1155,5643
1156,4432
1157,3831
1158,3091
1159,2609
1160,1325
1161,988
1162,1013
1163,1188
1164,1606
1165,1854
1166,2672
1167,3241
1168,4941
1169,5679
1170,7442
1171,7733
1172,8925
1173,8814
1174,11009
1175,12032
1176,11390
1177,12045
1178,11506
1179,11106
1180,11472
1181,10893
1182,8854
1183,8411
1184,8982
1185,8668
1186,9349
1187,9711
1188,10350
1189,10750
1190,9572
1191,7951
1192,7973
1193,7857
1194,9136
1195,9676
1196,9952
1197,10498
1198,9016
1199,8947
1200,8529
1201,7994
1202,7275
1203,6726
1204,5409
1205,4674
1206,3869
1207,3201
1208,1461
1209,941
1210,930
1211,1075
1212,1344
1213,1594
1214,2336
1215,2407
1216,3498
1217,4090
1218,5726
1219,6709
1220,8195
1221,7289
1222,8104
1223,8498
1224,8771
1225,8925
1226,9425
1227,9147
1228,9247
1229,8646
1230,9249
1231,8943
1232,8953
1233,9087
1234,10106
1235,9885
1236,9038
1237,7670
1238,6440
1239,6473
1240,6440
1241,5991
1242,5601
1243,4316
1244,3625
1245,3002
1246,2566
1247,2061
1248,1468
1249,970
1250,821
1251,666
1252,552
1253,539
1254,439
1255,583
1256,637
1257,897
1258,1753
1259,2584
1260,4356
1261,5631
1262,8192
1263,8377
1264,8175
1265,7499
1266,7313
1267,6612
1268,6845
1269,6713
1270,7067
1271,6981
1272,7145
1273,7172
1274,8007
1275,8093
1276,8035
1277,8585
1278,8293
1279,8062
1280,8212
1281,8868
1282,9551
1283,10217
1284,9935
1285,9102
1286,8528
1287,8138
1288,8017
1289,8424
1290,7748
1291,6665
1292,4982
1293,3945
1294,2921
1295,2374
1296,1685
1297,1199
1298,905
1299,768
1300,593
1301,543
1302,452
1303,484
1304,563
1305,842
1306,1732
1307,2567
1308,4199
1309,5959
1310,8411
1311,8892
1312,9108
1313,8304
1314,7907
1315,7451
1316,7532
1317,7195
1318,7682
1319,7963
1320,7865
1321,7717
1322,8326
1323,8415
1324,9174
1325,9385
1326,9102
1327,8459
1328,8516
1329,9701
1330,10753
1331,11614
1332,11547
1333,10750
1334,10138
1335,9913
1336,10592
1337,10126
1338,9949
1339,9246
1340,6973
1341,6034
1342,4034
1343,3218
1344,2325
1345,1578
1346,1141
1347,820
1348,683
1349,590
1350,518
1351,607
1352,685
1353,886
1354,1788
1355,2533
1356,4289
1357,5846
1358,8912
1359,9607
1360,9661
1361,8888
1362,8050
1363,7639
1364,7939
1365,7472
1366,8122
1367,8589
1368,7841
1369,8143
1370,8594
1371,8670
1372,9699
1373,10134
1374,9150
1375,8467
1376,8661
1377,9743
1378,11110
1379,11328
1380,11641
1381,10782
1382,10563
1383,10318
1384,10404
1385,11031
1386,10644
1387,10866
1388,8951
1389,6274
1390,4796
1391,3779
1392,2638
1393,1862
1394,1501
1395,1148
1396,884
1397,678
1398,604
1399,730
1400,666
1401,964
1402,1783
1403,2682
1404,4453
1405,6331
1406,9374
1407,9538
1408,9658
1409,9104
1410,8512
1411,7850
1412,7953
1413,7552
1414,8471
1415,8523
1416,8451
1417,8473
1418,9026
1419,8747
1420,9710
1421,9954
1422,9487
1423,8916
1424,9259
1425,10290
1426,11330
1427,13126
1428,13512
1429,12121
1430,11274
1431,10892
1432,10839
1433,11319
1434,11945
1435,11805
1436,10771
1437,8309
1438,6539
1439,5362
1440,3867
1441,2958
1442,2410
1443,1848
1444,1427
1445,1241
1446,1030
1447,1091
1448,824
1449,965
1450,1756
1451,2447
1452,4110
1453,5590
1454,8422
1455,8923
1456,9184
1457,8426
1458,8002
1459,7584
1460,7588
1461,7411
1462,8300
1463,8514
1464,8256
1465,8352
1466,8651
1467,8878
1468,9928
1469,9763
1470,9572
1471,9062
1472,8980
1473,9885
1474,11521
1475,12294
1476,12277
1477,11884
1478,10927
1479,9716
1480,10909
1481,11187
1482,10269
1483,9700
1484,9893
1485,9700
1486,8624
1487,9646
